location,amenity,leisure,office,other,public_transport,railway,shop,tourism,total_poi_count
Bondi,542.0,69.0,7.0,1010.0,23.0,0.0,64.0,25.0,1740.0
Byron Bay,284.0,141.0,6.0,1331.0,38.0,28.0,79.0,85.0,1992.0
Coffs Harbour,1395.0,569.0,25.0,3685.0,153.0,40.0,229.0,69.0,6165.0
Dubbo,808.0,363.0,5.0,1672.0,304.0,207.0,127.0,118.0,3604.0
Liverpool,5311.0,1378.0,31.0,6443.0,1073.0,417.0,518.0,40.0,15211.0
Manly,666.0,277.0,9.0,1700.0,73.0,0.0,62.0,99.0,2886.0
Newcastle,679.0,120.0,9.0,514.0,34.0,90.0,55.0,41.0,1542.0
Nowra,98.0,104.0,2.0,656.0,41.0,0.0,37.0,11.0,949.0
Orange,1030.0,315.0,14.0,7702.0,300.0,100.0,134.0,38.0,9633.0
Parramatta,1742.0,302.0,95.0,1960.0,109.0,354.0,283.0,69.0,4914.0
Penrith,944.0,315.0,37.0,6226.0,145.0,181.0,229.0,17.0,8094.0
Port Macquarie,839.0,369.0,52.0,2663.0,267.0,0.0,341.0,94.0,4625.0
Tamworth,904.0,469.0,36.0,4594.0,335.0,231.0,315.0,174.0,7058.0
Wollongong,497.0,109.0,10.0,3570.0,72.0,51.0,52.0,32.0,4393.0
