datetime,location,incident_count,incident_types
1970-01-01 10:00:00,Albury,0,FERRY OUT OF SERVICE|SCHEDULED ROADWORK
1970-01-01 10:00:00,Armidale,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Bathurst,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Bondi,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Broken Hill,0,HAZARD|ADVERSE WEATHER|SCHEDULED ROADWORK
1970-01-01 10:00:00,Byron Bay,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Canberra,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Cessnock,0,EMERGENCY ROADWORK|SCHEDULED ROADWORK
1970-01-01 10:00:00,Coffs Harbour,0,HAZARD|SCHEDULED ROADWORK
1970-01-01 10:00:00,Dubbo,0,HAZARD|SCHEDULED ROADWORK
1970-01-01 10:00:00,Katoomba,0,HAZARD|EMERGENCY ROADWORK|SCHEDULED ROADWORK
1970-01-01 10:00:00,Liverpool,0,CHANGED TRAFFIC CONDITIONS|SCHEDULED ROADWORK|SPECIAL EVENT
1970-01-01 10:00:00,Manly,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Newcastle,0,SCHEDULED ROADWORK|SPECIAL EVENT
1970-01-01 10:00:00,Nowra,0,CHANGED TRAFFIC CONDITIONS|SCHEDULED ROADWORK
1970-01-01 10:00:00,Orange,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Parramatta,0,CHANGED TRAFFIC CONDITIONS|SCHEDULED ROADWORK|FERRY OUT OF SERVICE|SPECIAL EVENT
1970-01-01 10:00:00,Penrith,0,CHANGED TRAFFIC CONDITIONS|EMERGENCY ROADWORK|SCHEDULED ROADWORK|FERRY OUT OF SERVICE
1970-01-01 10:00:00,Perisher,0,CHANGED TRAFFIC CONDITIONS|SCHEDULED ROADWORK|ALPINE CONDITIONS
1970-01-01 10:00:00,Port Macquarie,0,CHANGED TRAFFIC CONDITIONS|SCHEDULED ROADWORK
1970-01-01 10:00:00,Sydney CBD,0,CHANGED TRAFFIC CONDITIONS|BREAKDOWN|SCHEDULED ROADWORK|SPECIAL EVENT
1970-01-01 10:00:00,Tamworth,0,SCHEDULED ROADWORK
1970-01-01 10:00:00,Wagga Wagga,0,CHANGED TRAFFIC CONDITIONS|SCHEDULED ROADWORK
1970-01-01 10:00:00,Wollongong,0,BREAKDOWN|SCHEDULED ROADWORK|SPECIAL EVENT
